DepMap_ID,stripped_cell_line_name,Drug name,Drug Id,Cell line name,Cosmic sample Id,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Max conc,RMSE,Z score,Dataset version,New_Cell line name
ACH-000001,NIHOVCAR3,MK-8776,2046,OVCAR-3,905933,OV,urogenital_system,ovary,4.377918846492984,0.9737104338026432,5.0,0.0327937108198211,0.7522007267068093,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Linsitinib,1510,OVCAR-3,905933,OV,urogenital_system,ovary,4.555662011379644,0.9690895512608748,10.0,0.0844529413387028,0.6207805354836817,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,VE821,2111,OVCAR-3,905933,OV,urogenital_system,ovary,4.5598054002398,0.96317216664379,10.0,0.0314991436612152,0.3410966913232204,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Alisertib,1051,OVCAR-3,905933,OV,urogenital_system,ovary,4.258601867347301,0.9846756983703092,10.0,0.0733691722582744,1.035056821486681,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Sabutoclax,1849,OVCAR-3,905933,OV,urogenital_system,ovary,-1.174528797184203,0.497133577279489,10.0,0.1255845232304467,-0.5550031396600952,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Nelarabine,1814,OVCAR-3,905933,OV,urogenital_system,ovary,6.516824208176383,0.984202712373172,20.0,0.0335555288780623,0.353198487207486,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Ibrutinib,1799,OVCAR-3,905933,OV,urogenital_system,ovary,5.056220364174062,0.9734487506677196,10.0,0.0159321006293359,0.348277538288881,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Sapitinib,1549,OVCAR-3,905933,OV,urogenital_system,ovary,4.002419081664899,0.952058350883602,10.0,0.0928363746912482,0.1868098444472129,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,LJI308,2107,OVCAR-3,905933,OV,urogenital_system,ovary,5.331943254356728,0.9779318126056628,10.0,0.079516292409535,0.000517022671314,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,GSK591,2110,OVCAR-3,905933,OV,urogenital_system,ovary,5.48793298898341,0.9801409971864232,10.0,0.0452276509502883,0.818930738215412,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,GSK2606414,1618,OVCAR-3,905933,OV,urogenital_system,ovary,4.345666068683856,0.9577061214066536,10.0,0.0495440349079803,0.5451186875703461,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Sepantronium bromide,1941,OVCAR-3,905933,OV,urogenital_system,ovary,-5.87351275859788,0.0685330089677819,10.0,0.0658679057426342,-1.1049818081575002,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Leflunomide,1578,OVCAR-3,905933,OV,urogenital_system,ovary,5.258183522000961,0.9018502943088648,100.0,0.0880692153242417,0.2613082933639573,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Ipatasertib,1924,OVCAR-3,905933,OV,urogenital_system,ovary,3.145532483036018,0.9119051293387026,10.0,0.037356969621081,-0.2262275329562621,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,NVP-ADW742,1932,OVCAR-3,905933,OV,urogenital_system,ovary,5.010264852510465,0.9726231825563348,10.0,0.0487193719027369,1.5558034525864983,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Teniposide,1809,OVCAR-3,905933,OV,urogenital_system,ovary,1.8248973834608189,0.9058301449411336,3.0,0.0626828680699116,0.7218552190486317,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Afatinib,1032,OVCAR-3,905933,OV,urogenital_system,ovary,1.6036184270434888,0.8402622067108816,10.0,0.1048506803863179,-0.0197737764924357,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Buparlisib,1873,OVCAR-3,905933,OV,urogenital_system,ovary,1.1003953829970006,0.7574537123415372,10.0,0.0624621106239533,0.0708958834727213,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,AZD5363,1916,OVCAR-3,905933,OV,urogenital_system,ovary,3.5324770175593976,0.9298408963138104,10.0,0.0743291657524506,0.4153844402747359,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Ruxolitinib,1507,OVCAR-3,905933,OV,urogenital_system,ovary,5.259821367727232,0.9768335251094477,10.0,0.0866366949276941,0.3786151644853061,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,AZD6738,1917,OVCAR-3,905933,OV,urogenital_system,ovary,2.701477346088995,0.8870423952106501,10.0,0.0637038354662156,0.4440489478611734,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,PRIMA-1MET,1131,OVCAR-3,905933,OV,urogenital_system,ovary,4.56550084698722,0.9270321179667856,30.0,0.0398083654266465,-0.054989899988191,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,WEHI-539,1997,OVCAR-3,905933,OV,urogenital_system,ovary,2.8399724959294668,0.8953077131110918,10.0,0.0466056426801688,-0.3402129789185312,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,EPZ004777,1237,OVCAR-3,905933,OV,urogenital_system,ovary,5.011428028991378,0.9726443708193656,10.0,0.0724899402957734,-0.3068224492671376,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Acetalax,1804,OVCAR-3,905933,OV,urogenital_system,ovary,-0.9139581152858473,0.3958696849698809,30.0,0.1201213255849878,-2.6368392309976127,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Paclitaxel,1080,OVCAR-3,905933,OV,urogenital_system,ovary,-3.1135823706553736,0.9401620964632472,0.1,0.0788911255148436,-0.2680245057984333,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,P22077,1933,OVCAR-3,905933,OV,urogenital_system,ovary,4.38216440624167,0.9586866253310464,10.0,0.0764602685543662,-0.1806892131571376,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,AGI-6780,1634,OVCAR-3,905933,OV,urogenital_system,ovary,4.531003977549637,0.9624763183783358,10.0,0.0894581547040494,0.3160314717018586,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Olaparib,1017,OVCAR-3,905933,OV,urogenital_system,ovary,3.741461958583332,0.9381939323628604,10.0,0.0665909760444713,-0.6239311613181583,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,PCI-34051,1621,OVCAR-3,905933,OV,urogenital_system,ovary,4.483459955029038,0.961301468265912,10.0,0.0566176061834122,-0.0124336418867757,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Sorafenib,1085,OVCAR-3,905933,OV,urogenital_system,ovary,2.438834836417642,0.8700634870897237,10.0,0.0880598167227201,-0.1751779967961093,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Zoledronate,1802,OVCAR-3,905933,OV,urogenital_system,ovary,4.272913383154381,0.984825356717829,2.0,0.0307863241401829,0.2305191938764689,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Cyclophosphamide,1512,OVCAR-3,905933,OV,urogenital_system,ovary,4.592237089578076,0.9639416430125002,10.0,0.0759082051403917,-0.8533485956563287,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,MG-132,1862,OVCAR-3,905933,OV,urogenital_system,ovary,-1.65253695556733,0.4637381034540668,4.0,0.1094615876222498,-0.2725930779335566,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,AZD5991,1720,OVCAR-3,905933,OV,urogenital_system,ovary,5.657709442244633,0.9876663485004886,10.0,0.0272408487110066,0.5711134903217385,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Telomerase Inhibitor IX,1930,OVCAR-3,905933,OV,urogenital_system,ovary,0.4074126800381375,0.684402731741401,10.0,0.1416546836587426,-0.1536106581403012,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Dactinomycin,1911,OVCAR-3,905933,OV,urogenital_system,ovary,-4.865200724763596,0.3575566218940287,0.8,0.1685013519131132,-0.0958973613392431,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Dihydrorotenone,1827,OVCAR-3,905933,OV,urogenital_system,ovary,-1.0743963290649756,0.7699617335068768,1.0,0.0890139382721269,-1.2401664932744452,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,ABT737,1910,OVCAR-3,905933,OV,urogenital_system,ovary,2.875623477803789,0.8973594709736988,10.0,0.0774519869953459,0.4159625820116975,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,AZD1332,1463,OVCAR-3,905933,OV,urogenital_system,ovary,4.486268420223036,0.970294853730132,10.0,0.0494416605007662,0.4974028528729992,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Osimertinib,1919,OVCAR-3,905933,OV,urogenital_system,ovary,1.5642121425170834,0.9427856064189812,1.0,0.0650371721708252,-0.048832302464467,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,MK-2206,1053,OVCAR-3,905933,OV,urogenital_system,ovary,2.6593873278634943,0.8844368934505186,10.0,0.057792669539611,-0.234623978546414,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Dinaciclib,1180,OVCAR-3,905933,OV,urogenital_system,ovary,-1.5060394889164033,0.7264410241477105,1.0,0.1446614004281963,0.7888245587411272,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Staurosporine,1034,OVCAR-3,905933,OV,urogenital_system,ovary,-1.5716730109282266,0.5689237130755169,2.0,0.0693533919992483,0.9458960576721788,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,GSK2578215A,1927,OVCAR-3,905933,OV,urogenital_system,ovary,5.404365769293464,0.9789849982220464,10.0,0.0303966673796552,0.2972690687804586,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Venetoclax,1909,OVCAR-3,905933,OV,urogenital_system,ovary,1.780623643518829,0.950021259108608,1.0,0.0728522148075433,-0.2272033517434795,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,PD0325901,1060,OVCAR-3,905933,OV,urogenital_system,ovary,2.2371321853503443,0.9852732772909164,0.25,0.0617015016030594,1.0554262006957524,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Vincristine,1818,OVCAR-3,905933,OV,urogenital_system,ovary,-3.5435444717413014,0.357545109365797,3.0,0.1583889143932664,-0.7199487290523034,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,Uprosertib,2106,OVCAR-3,905933,OV,urogenital_system,ovary,2.9846461952966465,0.9034433709890192,10.0,0.0483232348376713,0.0458186119013569,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,LGK974,1598,OVCAR-3,905933,OV,urogenital_system,ovary,4.238098763739113,0.9586935223659536,10.0,0.10431720089292,0.0411252440484619,GDSC2,NIHOVCAR3
ACH-000001,NIHOVCAR3,IWP-2,1576,OVCAR-3,905933,OV,urogenital_system,ovary,2.811729967107901,0.974459086421669,1.0,0.1138665488075081,-0.1167172717966296,GDSC2,NIHOVCAR3
